,name,location,address,price,rating,type,Unnamed: 6,Unnamed: 7,sunday,monday,tuesday,wednesday,thursday,friday,saturday
551,Marcelo H. del Pilar Shrine,Luzon,"Sitio Cupang | Brgy. San Nicolas, Santa Maria, Luzon 3017, Philippines",0,0.0,,,,,,,,,,
552,Treasure Mountain,Tanay,"Sitio Maysawa Brgy, Tanay, Luzon 1980, Philippines",0,0.0,Mountain,,,,,,,,,
553,Regina Rica,Tanay,"Rizal, Tanay, Luzon, Philippines",0,0.0,,,,,,,,,,
554,Kamay ni Hesus,Lucban,"Lucena-Tayabas-Lucban-Sampaloc-Mauban Port Road, Lucban, Philippines",0,0.0,Church,,,,,,,,,
555,Philippine Arena,Luzon,"Ciudad de Victoria, Bocaue, Luzon, Philippines",0,0.0,Stadium,,,,,,,,,
556,Pasig Cathedral Museum,Pasig,"Pasig City Cathedral, Pasig, Luzon, Philippines",0,0.0,Church,,,,,,,,,
557,Frontera Verde,Pasig,"Pasig City, Philippines",0,0.0,,,,,,,,,,
559,Riverbanks Center,Marikina,"84 A. Bonifacio Ave., Marikina City 1803, Philippines",0,0.0,City Park,,,,,,,,,
560,Museo ng Katipunan,"San Juan, Metro Manila","N. Domingo, Pinaglabanan Street Pinaglabanan Shrine,San Juan, Luzon,Philippines",0,0.0,Museum,,,,,,,,,
561,Our Lady of Sorrows Parish Church,San Andres Bukid,"Batong Paloway Chapel, San Andres, Philippines",0,0.0,Other Places of Worship,,,,,,,,,
562,Ateneo de Manila University,Quezon City,"Katipunan Avenue, Quezon City 1108, Philippines",0,0.0,,,,,,,,,,
563,Jaime C. Velasquez Park,Luzon,"Velasquez Street, Salcedo Village, Bel Air, Makati, Luzon 1227, Philippines",0,0.0,School,,,,,,,,,
564,Marikina Sports Center,Marikina,"Sumulong highway, Marikina, Luzon, Philippines",0,0.0,,,,,,,,,,
565,Nelly's Garden,Iloilo,"E. Lopez St. | Jaro, Iloilo City, Iloilo Province, Philippines",0,0.0,Garden,,,,,,,,,
567,Gratchi's Getaway Tagaytay Farm Resort,Tagaytay,"Tagaytay-Calamba Road, Tagaytay, Luzon, Philippines",0,0.0,Farm,,,,,,,,,
568,Bagatao Island Lighthouse,Sorsogon City,"Bagatao Island, Sorsogon, Luzon, Philippines",0,0.0,Lighthouse,,,,,,,,,
569,Mabini Shrine,Tanauan,"Tanauan City, Philippines",0,0.0,,,,,,,,,,
570,St. Catherine Of Alexandria Parish,Luzon,"Bagac, Luzon, Philippines",0,0.0,Church,,,,,,,,,
573,Basang Basa Coral Beach Resort,Iloilo,"Amboyu-an, San Joaquin, Iloilo Province 5024, Philippines",0,0.0,Beach,,,,,,,,,
574,Baywalk,Malate,"Roxas Boulevard, Malate, 1004, Philippines",0,0.0,,,,,,,,,,
575,Moomba,Quezon City,"Mother Ignacia Avenue, Quezon City, Philippines",0,0.0,Bar,,,,,,,,,
577,Luljetta's Hanging Gardens and Spa,Antipolo City,"1870 Sitio Loreland, Brgy. San Roque, Antipolo City, Luzon 1870, Philippines",0,0.0,,,,,,,,,,
578,Kawa-Kawa Hill and Natural Park,Luzon,"Luzon, Philippines",0,0.0,Hiking,,,,,,,,,
579,Tondo,Tondo,"Manila, Philippines",0,0.0,,,,,,,,,,
580,Museo Pambata,Luzon,"Roxas Boulevard, Philippines",0,0.0,Exhibition Hall,,,,,,,,,
581,Terra Verde Farm,Iloilo,"Ajuy, Iloilo Province, Philippines",0,0.0,,,,,,,,,,
582,Resorts World,Pasay,"Resorts World Manila, Newport Blvd, Newport City, Pasay, 1309 Metro Manila",0,0.0,Casino,,,,,,,,,
583,Casa Mariquit,Iloilo,"Santa Isabel Street | Jaro, Iloilo City, Iloilo Province, Philippines",0,0.0,,,,,,,,,,
584,Aguinaldo Shrine,Kawit,"Kawit,Palanan,Philippines",0,0.0,,,,,,,,,,
585,Sitio Antonio Wavepool Resort,Luzon,"Bagong Barrio, Pandi, Luzon 3014, Philippines",0,0.0,,,,,,,,,,
586,Nagcarlan Underground Cemetery,Luzon,"Nagcarlan, Luzon, Philippines",0,0.0,Cemetery,,,,,,,,,
587,Don Bosco Batulao,Luzon,"Nasugbu, Philippines",0,0.0,Church,,,,,,,,,
588,Diocesan Shrine and Parish of St. Therese Of The Child Jesus,Antipolo City,"Barangay Mayamot Marcos Highway,Antipolo City, Luzon 1870, Philippines",0,0.0,Church,,,,,,,,,
590,Binurong Point,Virac,"Brgy. Guinsaanan, Baras, Virac, Luzon, Philippines",0,0.0,Observation Deck,,,,,,,,,
591,Mt Pico de Loro,Luzon,"General Emilio Aguinaldo, Luzon, Philippines",0,0.0,Mountain,,,,,,,,,
592,Heritage Memorial Park,Taguig,"Taguig City, Philippines",0,0.0,Monument,,,,,,,,,
